Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Etiqueta de entrega,Entrega compilada:Fecha de entrega,Entrega compilada:Open Contracting ID,compiledRelease/publishedDate,Entrega compilada:Tipo de inicio,Entrega compilada:Comprador:ID de Organización,Entrega compilada:Comprador:Nombre de la Organización,Entrega compilada:Planeación:Presupuesto:Fuente del Presupuesto,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Título de la licitación,Entrega compilada:Licitación:Descripción de la licitación,Entrega compilada:Licitación:Entidad contratante:ID de Organización,Entrega compilada:Licitación:Entidad contratante:Nombre de la Organización,compiledRelease/tender/datePublished,Entrega compilada:Licitación:Método de contratación,Entrega compilada:Licitación:Detalles del método de contratación,Entrega compilada:Licitación:Categoría principal de contratación,Entrega compilada:Licitación:Categorías adicionales de contratación,Entrega compilada:Licitación:Valor:Monto,Entrega compilada:Licitación:Valor:Moneda,Entrega compilada:Licitación:Valor:Nombre de Moneda,compiledRelease/tender/value/amount_PEN,Entrega compilada:Licitación:Periodo de licitación:Fecha de inicio,Entrega compilada:Licitación:Periodo de licitación:Fecha de fin,Entrega compilada:Licitación:Número de licitantes,Entrega compilada:Licitación:Información Protegida,Entrega compilada:Segmentación:ID,Entrega compilada:Segmentación:Criterio,Entrega compilada:Planeación:Presupuesto:Monto:Monto,Entrega compilada:Planeación:Presupuesto:Monto:Moneda,Entrega compilada:Planeación:Presupuesto:Monto:Nombre de Moneda,Entrega compilada:Licitación:Periodo de consulta:Fecha de inicio,Entrega compilada:Licitación:Periodo de consulta:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Duración (días),Entrega compilada:Planeación:Presupuesto:Título del Proyecto,Entrega compilada:Planeación:Presupuesto:Identificador de proyecto
ocds-dgv273-seacev3-1235823,ocds-dgv273-seacev3-1235823-2026-09-23T10:18:09.449520-05:00,compiled,2026-09-23T10:18:09.449508-05:00,ocds-dgv273-seacev3-1235823,2026-09-23T10:18:09.449526-05:00,tender,PE-CONSUCODE-27,OFICINA NACIONAL DE PROCESOS ELECTORALES,Fondos Públicos,1235823,RES-PROC-23-2026-EG-ONPE-1,SERVICIO DE LA TRANSMISION DE LA FRANJA ELECTORAL EN EL MARCO DE LA EG 2026,PE-CONSUCODE-27,OFICINA NACIONAL DE PROCESOS ELECTORALES,2026-09-18T17:17:00-05:00,open,Regímen Especial,services,services,76420257.19,PEN,Soles,76420257.19,2026-01-30T00:00:00-05:00,2026-01-30T00:00:00-05:00,133,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,,,,,,,,
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,compiled,2026-09-23T10:17:57.571729-05:00,ocds-dgv273-seacev3-1237889,2026-09-23T10:17:57.571747-05:00,tender,PE-CONSUCODE-42,GOBIERNO REGIONAL DE LA LIBERTAD Sede Central,Fondos Privados,1237889,RES-PROC-12-2025-GRLL-CE-EPS-OXI-1,Supervisión del proyecto bajo la modalidad de OxI: MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN SECUNDARIA EN I.E. NUESTRO SEÑOR DE LA MISERICORDIA DISTRITO DE LUCMA DE LA PROVINCIA DE GRAN CHIMU DEL DEPARTAMENTO DE LA LIBERTAD. CUI 2681968,PE-CONSUCODE-42,GOBIERNO REGIONAL DE LA LIBERTAD Sede Central,2026-07-31T20:06:00-05:00,open,Regímen Especial,services,services,1131030.0,PEN,Soles,1131030.0,2026-01-28T00:00:00-05:00,2026-01-28T00:00:00-05:00,3,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,1131030.0,PEN,Soles,2026-01-29T07:30:00-05:00,2026-02-06T16:15:00-05:00,8,,
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,compiled,2026-09-23T10:17:52.740984-05:00,ocds-dgv273-seacev3-1181800,2026-09-23T10:17:52.741002-05:00,tender,PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,Fondos Públicos,1181800,LP-ABR-20-2025-C/MDSA-1,CONTRATACION PARA LA EJECUCION DE OBRA DEL PROYECTO DENOMINADO: MEJORAMIENTO DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE 02 DE LA ASOC. DE VIV. LAS VEGAS Y PARQUE 01 DE LA ASOC. DE VIV. LAS FLORES DISTRITO DE SANTA ANITA DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA - CUI 2656872,PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,2026-01-20T19:16:00-05:00,,Licitación Pública Abreviada,works,works,2280624.88,PEN,Soles,2280624.88,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,20,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,9121919.71,PEN,Soles,2026-01-21T00:01:00-05:00,2026-01-23T23:59:00-05:00,2,MEJORAMIENTO DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE 02 DE LA ASOC. DE VIV. LAS VEGAS Y PARQUE 01 DE LA ASOC. DE VIV. LAS FLORES   DISTRITO DE SANTA ANITA DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA,2656872
ocds-dgv273-seacev3-1184347,ocds-dgv273-seacev3-1184347-2026-09-23T10:17:19.149679-05:00,compiled,2026-09-23T10:17:19.149666-05:00,ocds-dgv273-seacev3-1184347,2026-09-23T10:17:19.149685-05:00,tender,PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,Fondos Públicos,1184347,LP-ABR-19-2025-C/MDSA-1,"MEJORAMIENTO DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL DEL AA.HH HUASCAR DISTRITO DE SANTA ANITA DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA, CON CUI 2656881",PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,2026-01-06T19:20:00-05:00,,Licitación Pública Abreviada,works,works,2100742.71,PEN,Soles,2100742.71,2026-01-06T00:00:00-05:00,2026-01-06T00:00:00-05:00,28,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,6302228.130000001,PEN,Soles,2026-01-07T00:01:00-05:00,2026-01-09T23:59:00-05:00,2,MEJORAMIENTO DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL DEL AA.HH HUASCAR   DISTRITO DE SANTA ANITA DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA,2656881
ocds-dgv273-seacev3-1185330,ocds-dgv273-seacev3-1185330-2026-09-23T10:17:09.009769-05:00,compiled,2026-09-23T10:17:09.009756-05:00,ocds-dgv273-seacev3-1185330,2026-09-23T10:17:09.009774-05:00,tender,PE-CONSUCODE-1297,MUNICIPALIDAD DISTRITAL DE ILLIMO,Fondos Públicos,1185330,CP-ABR-1-2026-MDI/CS-1,"SUPERVISIÓN DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN CAMINO VECINAL LA-579, LA-582, LA-580: DISTRITO DE ILLIMO - CRUCE CEMENTERIO - CRUCE COLOCHE - SAN PEDRO DE SASAPE - SAN ISIDRO - TRAPICHE, DISTRITO DE ILLIMO DE LA PROVINCIA DE LAMBAYEQUE DEL DEPARTAMENTO DE LAMBAYEQUE",PE-CONSUCODE-1297,MUNICIPALIDAD DISTRITAL DE ILLIMO,2026-01-26T19:55:00-05:00,,Concurso Público Abreviado,services,services,496067.29,PEN,Soles,496067.29,2026-01-26T00:00:00-05:00,2026-01-26T00:00:00-05:00,29,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,1054991.43,PEN,Soles,2026-01-27T00:01:00-05:00,2026-01-29T23:59:00-05:00,2,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN CAMINO VECINAL LA-579,  LA-582, LA-580: DISTRITO DE ILLIMO - CRUCE CEMENTERIO - CRUCE COLOCHE - SAN PEDRO DE SASAPE - SAN ISIDRO - TRAPICHE,   DISTRITO DE ILLIMO DE LA PROVINCIA DE LAMBAYEQUE DEL DEPARTAMENTO DE LAMBAYEQUE",2661097
ocds-dgv273-seacev3-1184427,ocds-dgv273-seacev3-1184427-2026-09-23T10:17:08.917590-05:00,compiled,2026-09-23T10:17:08.917577-05:00,ocds-dgv273-seacev3-1184427,2026-09-23T10:17:08.917596-05:00,tender,PE-CONSUCODE-1309,MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,Fondos Públicos,1184427,DIRECTA-DIRECTA-3-2025-MDA/DEC-1,ADQUISICION DE 75 CAMARAS DE VIDEO DIGITAL CORPORAL PARA LA SUBGERENCIA DE SEGURIDAD CIUDADANA Y SERENAZGO DE LA MUNICIPALIDAD DISTRITAL DE ATE.,PE-CONSUCODE-1309,MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,2026-01-12T11:46:00-05:00,direct,Contratación Directa,goods,goods,154050.0,PEN,Soles,154050.0,,,1,False,2026-01,añoPublicacionProceso;mesPublicacionProceso,154050.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1185367,ocds-dgv273-seacev3-1185367-2026-09-23T10:17:08.763445-05:00,compiled,2026-09-23T10:17:08.763432-05:00,ocds-dgv273-seacev3-1185367,2026-09-23T10:17:08.763450-05:00,tender,PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,Fondos Públicos,1185367,LP-ABR-3-2026-C-MLV-1,"EJECUCIÓN DE LA OBRA DE LA INVERSIÓN IOARR: RENOVACION DE PAVIMENTO; EN EL(LA) AMBITO DE VÍAS LOCALES DE LA ZONA 2 Y 3 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA¿ CON CUI Nº 2705666",PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,2026-01-26T19:57:00-05:00,,Licitación Pública Abreviada,works,works,1369171.77,PEN,Soles,1369171.77,2026-01-26T00:00:00-05:00,2026-01-26T00:00:00-05:00,29,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,1369171.77,PEN,Soles,2026-01-27T00:01:00-05:00,2026-01-29T23:59:00-05:00,2,"RENOVACION DE PAVIMENTO; EN EL(LA) AMBITO DE VÍAS LOCALES DE LA ZONA 2 Y 3 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA",2705666
ocds-dgv273-seacev3-1185153,ocds-dgv273-seacev3-1185153-2026-09-23T10:17:08.726429-05:00,compiled,2026-09-23T10:17:08.726417-05:00,ocds-dgv273-seacev3-1185153,2026-09-23T10:17:08.726435-05:00,tender,PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,Fondos Públicos,1185153,LP-ABR-2-2026-C-MLV-1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA:¿RENOVACIÓN DE PAVIMENTO; EN EL AMBITO DE LA ZONA 37 Y 40 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA¿ CON CUI 2705657",PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,2026-01-22T23:08:00-05:00,,Licitación Pública Abreviada,works,works,3188024.49,PEN,Soles,3188024.49,2026-01-22T00:00:00-05:00,2026-01-22T00:00:00-05:00,31,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,3188024.49,PEN,Soles,2026-01-23T00:01:00-05:00,2026-01-27T23:59:00-05:00,4,"RENOVACION DE PAVIMENTO; EN EL(LA) EN EL AMBITO DE LA ZONA 37 Y 40 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA",2705657
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,compiled,2026-09-23T10:17:00.755454-05:00,ocds-dgv273-seacev3-1203238,2026-09-23T10:17:00.755472-05:00,tender,PE-CONSUCODE-1972,INSTITUTO NACIONAL DE INNOVACION AGRARIA - INIA,Fondos Públicos,1203238,CP SER-SM-1-2026-INIA-1,SERVICIO DE SEGURIDAD Y VIGILANCIA A NIVEL NACIONAL PARA EL INIA,PE-CONSUCODE-1972,INSTITUTO NACIONAL DE INNOVACION AGRARIA - INIA,2026-01-30T19:40:00-05:00,,Concurso Público de Servicios,services,services,0.0,PEN,Soles,0.0,2026-01-30T00:00:00-05:00,2026-01-30T00:00:00-05:00,125,True,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,0.0,PEN,Soles,2026-01-31T00:01:00-05:00,2026-02-10T23:59:00-05:00,10,,
ocds-dgv273-seacev3-1184766,ocds-dgv273-seacev3-1184766-2026-09-23T10:16:56.802672-05:00,compiled,2026-09-23T10:16:56.802660-05:00,ocds-dgv273-seacev3-1184766,2026-09-23T10:16:56.802678-05:00,tender,PE-CONSUCODE-33,GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,Fondos Públicos,1184766,DIRECTA-DIRECTA-1-2025-GRA/DEC-1,"CONTRATACIÓN DE PRESTACIONES NO EJECUTADAS DE UN CONTRATO RESUELTO DE LA OBRA ¿MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E SANTA ROSA DE VITERBO EN EL DISTRITO DE HUARAZ, PROVINCIA DE HUARAZ, DEPARTAMENTO DE ANCASH"" CUI 2194968",PE-CONSUCODE-33,GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,2026-01-16T19:46:00-05:00,direct,Contratación Directa,works,works,72176017.35,PEN,Nuevos Soles,72176017.35,,,1,False,2026-01,añoPublicacionProceso;mesPublicacionProceso,72176017.35,PEN,Soles,,,,,
